"Course ID","Subject code","Catalog Number","Offering Unit","Course Title","Course Description","Min Units","Max Units","Repeatable for Credit","Total Completions Allowed","Total Units Allowed","Grading Basis","Components","Course Attributes","Enrollment Requirements","Course Requisites"
"013097","HDFS","200","Educational Psychology","Evolution and Human Development","An examination of human psychological and behavioral development across the lifespan with a focus on how the processes of evolution have influenced individual development.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Discussion, Lecture","CE - CL (Cross Listed), GE - T2-INDV (Tier 2 Individuals & Societies), GEAT - WRIT (Gen Ed Attr: Writing), GEED - EPSOC (Gen Ed: EP Social Scientist)","-","-"
"015423","HDFS","237","Family Studies and Human Dev","Love, Intimacy, and Relationships","For most individuals, friendships and romantic relationships are a primary source of social connection, belonging, and support. This course is a survey of the science of close, intimate relationships, primarily dyadic relationships. Some topics that will be discussed include attraction, love, sexuality, communication, and conflict, among others.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","-"
"015424","HDFS","257","Family Studies and Human Dev","Contemporary Families","Family relationships can be rewarding, challenging, complicated, and more. This course overviews research from the family science field covering topics related to contemporary family life including gender roles, work/family balance, marriage, parenthood, divorce, blended families, family violence, and related topics.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","-"
"020688","HDFS","280","Mexican American Studies","Chicano/a Psychology","Introduction to Mexican American studies from various perspectives. Research issues and interpretation in the field; public policy and Mexican origin populations; and social sciences and the professions and impact upon the Mexican American community.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","CE - CL (Cross Listed)","-","-"
"015426","HDFS","293","Family Studies and Human Dev","Internship","Specialized work on an individual basis, consisting of training and practice in actual service in a technical, business, or governmental establishment.","1","3","No","1","3","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"015427","HDFS","294","Family Studies and Human Dev","Practicum","The practical application, on an individual basis, of previously studied theory and the collection of data for future theoretical interpretation.","1","8","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"041464","HDFS","296","Family Studies and Human Dev","Special Topics in HDFS","In-depth coverage of special topics in Human Development and Family Science (rotating topics).","3","3","Yes","99","99","GRD - Regular Grades A, B, C, D, E","Seminar","-","-","-"
"015428","HDFS","299","Family Studies and Human Dev","Independent Study","Qualified students working on an individual basis with professors who have agreed to supervise such work.","1","3","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"015429","HDFS","299H","Family Studies and Human Dev","Honors Independent Study","Qualified students working on an individual basis with professors who have agreed to supervise such work.","1","4","No","1","4","GRD - Regular Grades A, B, C, D, E","Independent Study","HNRS - HCRS (Honors Course)","015056","-"
"015430","HDFS","323","Family Studies and Human Dev","Infancy/Child Development","Growth, development, and socialization of the child within the family setting, from conception to the middle school years; observations of infants and preschoolers.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","CE - EQ (Equivalency), CE - ME (Mutually Exclusive)","-","HDFS 117.or equivalent course (e.g., EDP/HDSF/PSY 200, PSY 240)"
"015431","HDFS","323L","Family Studies and Human Dev","Child Development Laboratory Experience","This laboratroy experience provides training in observing and recording young children's behaviors.","1","1","No","1","1","GRD - Regular Grades A, B, C, D, E","Laboratory","-","-","HDFS 117."
"015433","HDFS","338G","Family Studies and Human Dev","Teaching Family and Consumer Sciences Education","-","4","4","No","1","4","GRD - Regular Grades A, B, C, D, E","Lecture","CE - CL (Cross Listed), WE - WEC (Writing Emphasis Course)","-","HDFS 377; HDFS 408, ED P 310; Concurrent registration, FSHD 388, TTE 350."
"035959","HDFS","347","Philosophy","Neuroethics","This course introduces students to neuroethics a burgeoning field in philosophy conducting research in the intersection of neuroscience and ethics. In this course, we'll be asking what ethical questions neuroscience raises and what ethical questions it helps to answer. Students will encounter questions and issue such as the nature of free will, ethical implications of brain manipulation, the relation between moral responsibility and mental disorder, the ethics of moral enhancement, the nature of moral judgement, feminist critique of neuroethical research, the challenges of motivated reasoning, the ethics of brain reading, among others.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Discussion, Lecture","CE - CL (Cross Listed), GE - T2-INDV (Tier 2 Individuals & Societies), GEAT - WRIT (Gen Ed Attr: Writing), GEED - EPHUM (Gen Ed: EP Humanist)","-","Two courses from Tier One, Individuals and Societies (INDV 101, 102, 103)."
"015435","HDFS","377","Family Studies and Human Dev","Adolescence","This course is designed to provide you with an in-depth understanding of adolescent development, including the relationships between theory, research, and practice.  We will examine various aspects of adolescent development, focusing on the major developmental milestones (such as identity, intimacy, and sexuality), transitions, strengths, and challenges of adolescents, as well as the contexts in which these occur.  Additionally, this course will introduce you to the practice of working with adolescents and their caregivers, and provide opportunities for you to apply research and theory to specific issues of adolescent development (such as best practices for structuring out of school programs).","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","CE - EQ (Equivalency), CE - ME (Mutually Exclusive)","-","HDFS 117.or equivalent course (e.g., EDP/HDFS/PSY 200, PSY 240)"
"035011","HDFS","384","Family Studies and Human Dev","Leadership, Ethics, and Professional Practices","Theories and applications of leadership and communication applied to professional decision-making, planning and control in the workplace. Examination of personal and professional qualities essential for successful internship and career planning. Roles, responsibilities, and ethical standards for professionals will be examined.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","CE - EQ (Equivalency), CE - ME (Mutually Exclusive)","015482","-"
"015437","HDFS","392","Family Studies and Human Dev","Directed Research","The goal of this course is to prepare undergraduate students to work on faculty research projects. Time will be spent on Human Subjects Protection certification, research ethics, a general training in data collection, basic data analyses, and report writing. The course is intended as a first step for students who are interested in the opportunity to acquire research experience and who may wish to pursue graduate programs or career tracks where research training is needed.","1","6","Yes","2","12","GRD - Regular Grades A, B, C, D, E","Independent Study","-","-","-"
"015438","HDFS","393","Family Studies and Human Dev","Internship","Specialized work on an individual basis, consisting of training and practice in actual service in a technical, business, or governmental establishment.","1","4","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"015439","HDFS","394","Family Studies and Human Dev","Practicum","The practical application, on an individual basis, of previously studied theory and the collection of data for future theoretical interpretation.","1","8","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"015441","HDFS","399","Family Studies and Human Dev","Independent Study","Qualified students working on an individual basis with professors who have agreed to supervise such work.","1","3","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"015442","HDFS","399H","Family Studies and Human Dev","Honors Independent Study","Qualified students working on an individual basis with professors who have agreed to supervise such work.","1","3","Yes","99","999","GRD - Regular Grades A, B, C, D, E","Independent Study","HNRS - HCRS (Honors Course)","015056","-"
"015443","HDFS","401","Family Studies and Human Dev","Basic Counseling Skills","Students will learn foundational counseling skills relevant to actively engaging in a helping profession or graduate program related to counseling. This course is an active, engaged course that requires student participation. We will learn about listening skills, influencing skills, multicultural professionalism, and basic professional issues. Not only will students learn foundational theories and research supporting these skills as building blocks of counseling professions but will be able to apply these skills in real scenarios","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","CE - EQ (Equivalency), CE - ME (Mutually Exclusive)","-","6 units of social sciences."
"013114","HDFS","403","Educational Psychology","Preadolescence and Adolescent Development","Major developmental tasks within the preadolescent and adolescent years. Emphasis on the importance of theoretically grounded research and the integration of theory, research and practice.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","CE - CL (Cross Listed)","-","-"
"015445","HDFS","405","Family Studies and Human Dev","Theories of Counseling","Techniques for the study of human behavior; implications for improving adult-child relationships, applying various theories of counseling.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","CE - EQ (Equivalency), CE - ME (Mutually Exclusive)","-","6 units of social science."
"015446","HDFS","408","Family Studies and Human Dev","Program Planning and Evaluation","The overall objective of this course is to guide and assist students as they conduct a thorough case study of an existing or proposed social service, educational or community program/agency.  The course is designed to provide students with applied knowledge of program planning components as well as program evaluation techniques.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","CE - EQ (Equivalency), CE - ME (Mutually Exclusive)","-","HECL 202 or equivalent research methods course (e.g., PSY 290A, SOC 374) and 6 units of social science"
"043009","HDFS","411","Family Studies and Human Dev","Understanding Suicide: Prevention, Intervention, Families & Communities","This course will examine suicide and its implications for individuals and families across the lifespan. Students will learn about historical and cultural perspectives on suicide. Special focus will be given to learning about prevention and intervention efforts, as well as supporting families whose members are experiencing suicidal thoughts or who have lost members to suicide. The course will familiarize students with evidence-based strategies for suicide risk assessment, intervention efforts, and community prevention. Students will practice risk-assessment conversations, create safety plans, and develop suggestions to improve community- or school-based suicide prevention/postvention programs.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","-","019279","-"
"015450","HDFS","413","Family Studies and Human Dev","Issues in Aging","This course addresses major issues facing older adults and their families, society, and how earlier life experiences influence our older adult years.  This class will tackle questions such as:  What opportunities and challenges do adults face as they age?  What resources and barriers shape their lives?  How do physiological, psychological, interpersonal/family, economic, and socio-historical factors affect the experience of aging?  How do gender, social class, and ethnicity influence the experience of aging?  How do government policies, community services, the healthcare system, and health interventions affect the lives and well-being of older adults?","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","CE - CL (Cross Listed), CE - EQ (Equivalency), CE - ME (Mutually Exclusive)","-","HDFS 117 or equivalent course (e.g., EDP/HDFS/PSY 200, PSY 240) OR 6 units of social science"
"015453","HDFS","427A","Family Studies and Human Dev","Mental Health & the Family:  Adulthood","This course overviews a variety of mental illnesses and relationship problems in adulthood, with specific focus on how those issues impact individuals and their family systems.  Prevention and treatment approaches for these issues are discussed, including research-supported therapeutic approaches and family-based strategies.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","CE - EQ (Equivalency), CE - ME (Mutually Exclusive)","-","PSY 101, HDFS 117 or equivalent course (e.g., EDP/HDFS/PSY 200, PSY 240)"
"015454","HDFS","427C","Family Studies and Human Dev","Mental Health & the Family:  Childhood & Adolescence","This course overviews intellectual disability, learning disabilities, and a variety of mental illnesses in childhood and adolescence, with specific focus on how those issues impact individuals and their family systems.  Prevention and treatment approaches for these issues are discussed, including play-based and other therapeutic interventions, family-based methods, and school and community strategies.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","CE - EQ (Equivalency), CE - ME (Mutually Exclusive)","-","PSY 101, HDFS 117 or equivalent course (e.g., EDP/HDFS/PSY 200, PSY 240)"
"042974","HDFS","443","Family Studies and Human Dev","Young Adulthood","This course will overview key research on the foundational experiences and transitions of young adulthood. Areas of focus include transitions and experiences around education and training, relationships, financial independence, and work. An emphasis will be on placing young adult experiences within their context.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","-"
"015459","HDFS","447A","Family Studies and Human Dev","Sociocultural Context of Development","In-depth examination of human development from a sociocultural perspective; focus on socialization processes in childhood and adolescence and the role of the social and cultural context in those processes.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","CE - EQ (Equivalency), CE - ME (Mutually Exclusive)","018535","HDFS 117 or equivalent course (HDFS/EDP/PSY 200, PSY 240)."
"015460","HDFS","447C","Family Studies and Human Dev","Biosocial Development","This course addresses topics in human development (e.g., family relationships, sexual development, competitive behavior, sex differences, the adolescent brain) from evolutionary and biosocial perspectives.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","CE - EQ (Equivalency), CE - ME (Mutually Exclusive), WE - WEC (Writing Emphasis Course)","018535","HDFS 117 or equivalent course (HDFS/EDP/PSY 200, PSY 240)"
"015461","HDFS","450","Family Studies and Human Dev","Human Sexuality and Relations","Overview of human sexuality from development and interpersonal perspectives, topics to include reproductive physiology and health, sexual function and dysfunction, educational and intervention strategies.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","-"
"015464","HDFS","487","Family Studies and Human Dev","Theories of Interpersonal & Family Relationships","Critical analysis of selected studies and current research in family relations.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","CE - EQ (Equivalency), CE - ME (Mutually Exclusive), WE - WEC (Writing Emphasis Course)","018242","HDFS 117, 237 and 257"
"035231","HDFS","491","Family Studies and Human Dev","Preceptorship","Specialized work on an individual basis, consisting of instruction and practice in actual service in a department, program, or discipline. Teaching formats may include seminars, in-depth studies, laboratory work and patient study.","1","3","Yes","6","18","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"015466","HDFS","492","Family Studies and Human Dev","Directed Research","Individual or small group research under the guidance of faculty.","1","6","Yes","99","99","GRD - Regular Grades A, B, C, D, E","Independent Study","-","-","-"
"015467","HDFS","493","Family Studies and Human Dev","Internship","Specialized work on an individual basis, consisting of training and practice in actual service in a technical, business, or governmental establishment.","1","12","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","SEA - PD (Professional Development), SEC - PRO (Professionalism)","015051","HDFS 117, 237 and 257"
"015468","HDFS","493E","Family Studies and Human Dev","Externship in Human Development and Family Science","Specialized work on an individual basis, consisting of training and practice in actual service in Cooperative Extension and/or similar non-local community services settings.","3","12","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"015469","HDFS","493L","Family Studies and Human Dev","Legislative Internship","Working experience at the Arizona State Legislature; responsibilities draw upon student's area of major expertise and include preparing written and oral reports, summarizing legislative proposals, and providing information to legislators and legislative committees.","1","12","No","1","12","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"015470","HDFS","494","Family Studies and Human Dev","Practicum","The practical application, on an individual basis, of previously studied theory and the collection of data for future theoretical interpretation.","1","8","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","CE - EQ (Equivalency), CE - ME (Mutually Exclusive), SEA - PD (Professional Development), SEC - PRO (Professionalism)","-","-"
"037709","HDFS","496B","Family Studies and Human Dev","Sexual Identity Over the Lifespan","Review of concepts of sexual identity and sexual orientation from an ecological human development perspective.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Seminar","-","-","-"
"037791","HDFS","496Z","Family Studies and Human Dev","Topics in HDFS","In-depth coverage of special topics in Human Development and Family Science (rotating topics).","3","3","Yes","3","9","GRD - Regular Grades A, B, C, D, E","Seminar","-","-","-"
"042155","HDFS","497A","Family Studies and Human Dev","Preparing for Graduate School","This course focuses on the process of identifying and preparing students to apply to Master's and PhD programs in graduate and professional school. This includes identifying programs of interest, mapping out plans on applying to them, constructing needed documents for applying, and information on the adjustment to and paying for graduate school. It also includes the importance of the development of alternative plans than one's identified program.","1","1","No","1","1","GRD - Regular Grades A, B, C, D, E","Workshop","SSCS - SCS (Success Course)","-","-"
"015473","HDFS","498","Family Studies and Human Dev","Senior Capstone","A culminating experience for majors involving a substantive project that demonstrates a synthesis of learning accumulated in the major, including broadly comprehensive knowledge of the discipline and its methodologies.  Senior standing required.","1","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Independent Study","-","-","-"
"015474","HDFS","498H","Family Studies and Human Dev","Honors Thesis","An honors thesis is required of all the students graduating with honors. Students ordinarily sign up for this course as a two-semester sequence. The first semester the student performs research under the supervision of a faculty member; the second semester the student writes an honors thesis.","3","3","Yes","99","9","GRD - Regular Grades A, B, C, D, E","Independent Study","HNRS - HCRS (Honors Course), WE - WEC (Writing Emphasis Course)","015056","-"
"015475","HDFS","499","Family Studies and Human Dev","Independent Study","Qualified students working on an individual basis with professors who have agreed to supervise such work.","1","3","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","CE - EQ (Equivalency), CE - ME (Mutually Exclusive)","-","-"
"015476","HDFS","499H","Family Studies and Human Dev","Honors Independent Study","Qualified students working on an individual basis with professors who have agreed to supervise such work.","3","3","Yes","99","999","GRD - Regular Grades A, B, C, D, E","Independent Study","HNRS - HCRS (Honors Course)","015056","-"
"043739","HDFS","501","Family Studies and Human Dev","Basic Counseling Skills","Students will learn foundational counseling skills relevant to actively engaging in a helping profession or graduate program related to counseling. This course is an active, engaged course that requires student participation. We will learn about listening skills, influencing skills, multicultural professionalism, and basic professional issues. Not only will students learn foundational theories and research supporting these skills as building blocks of counseling professions but will be able to apply these skills in real scenarios","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","-"
